Method,ExecutionTime_s,CPUUserTime_us,CPUSystemTime_us,PeakMemory_kb
Periodogram,0.120573,116466,4016,8904
Welch_128,0.000885,882,0,8904
Welch_256,0.001496,1493,0,8904
Welch_512,0.001667,1664,0,8904
Welch_1024,0.002428,2422,4,8904
Welch_2048,0.002837,2834,0,8904
Welch_4096,0.003455,3452,0,8904
Multitaper,0.029801,20809,8987,9156
Periodogram_filtered,0.011551,10557,988,9156
Welch_128_filtered,0.000503,489,11,9156
Welch_256_filtered,0.000547,0,543,9156
Welch_512_filtered,0.000510,499,8,9156
Welch_1024_filtered,0.000516,514,0,9156
Welch_2048_filtered,0.000562,559,0,9156
Welch_4096_filtered,0.000674,671,0,9156
Multitaper_filtered,0.030597,20601,9990,9408
Periodogram_uniform_quantized,0.008311,5320,2986,9408
Welch_128_uniform_quantized,0.000389,387,0,9408
Welch_256_uniform_quantized,0.000389,387,0,9408
Welch_512_uniform_quantized,0.000361,359,0,9408
Welch_1024_uniform_quantized,0.000353,351,0,9408
Welch_2048_uniform_quantized,0.000391,388,0,9408
Welch_4096_uniform_quantized,0.000484,482,0,9408
Multitaper_uniform_quantized,0.021901,15911,5986,9488
Periodogram_mu_law_quantized,0.006193,4202,1985,9488
Welch_128_mu_law_quantized,0.000285,278,6,9488
Welch_256_mu_law_quantized,0.000289,288,0,9488
Welch_512_mu_law_quantized,0.000251,250,0,9488
Welch_1024_mu_law_quantized,0.000251,249,0,9488
Welch_2048_mu_law_quantized,0.000294,293,0,9488
Welch_4096_mu_law_quantized,0.000338,336,0,9488
Multitaper_mu_law_quantized,0.015842,10519,5319,9740
